Surface_Code,Court_Code,Series_Code,Round_Code,Best of,Rank_1,Rank_2,Rank_Diff
3,1,5,0,3,106,18,-88
1,0,2,0,5,19,85,66
3,1,0,1,3,29,35,6
1,0,3,1,3,93,98,5
2,0,2,0,5,174,30,-144
0,1,5,0,3,68,33,-35
2,0,2,0,5,59,79,20
3,0,2,4,5,6,34,28
3,0,6,0,3,60,39,-21
3,0,2,0,5,79,22,-57
3,1,4,1,3,57,25,-32
3,0,2,0,5,48,46,-2
3,0,1,6,3,72,9,-63
3,0,6,2,3,28,12,-16
1,0,2,0,5,90,97,7
3,0,2,2,5,19,89,70
1,0,1,0,3,192,16,-176
2,0,0,0,3,71,81,10
1,0,0,4,3,172,55,-117
3,1,6,0,3,57,41,-16
3,0,2,1,5,38,95,57
3,0,2,0,5,87,66,-21
3,0,0,4,3,157,19,-138
1,0,5,1,3,7,109,102
1,0,3,1,3,31,93,62
3,0,5,3,3,2,70,68
3,0,2,0,5,145,54,-91
3,0,0,0,3,59,95,36
2,0,3,0,3,74,27,-47
3,0,2,1,5,40,13,-27
3,0,0,4,3,50,24,-26
3,0,6,3,3,13,33,20
1,0,5,0,3,16,34,18
1,0,1,2,3,73,26,-47
3,0,1,4,3,16,5,-11
3,0,6,0,3,54,22,-32
1,0,6,4,3,18,7,-11
1,0,6,0,3,88,111,23
1,0,4,1,3,13,77,64
3,0,0,1,3,67,35,-32
3,1,0,6,3,37,14,-23
1,0,0,0,3,84,135,51
1,0,1,1,3,4,68,64
2,0,1,0,3,17,166,149
0,1,3,0,3,31,393,362
3,0,3,1,3,30,1,-29
1,0,0,4,3,87,79,-8
1,0,0,0,3,228,53,-175
1,0,0,0,3,321,145,-176
1,0,2,0,5,122,83,-39
3,1,5,2,3,7,19,12
3,0,2,0,5,17,87,70
3,0,5,0,3,39,82,43
3,1,3,0,3,698,53,-645
3,0,2,1,5,14,57,43
3,0,3,6,3,43,27,-16
1,0,3,2,3,11,68,57
3,0,5,1,3,5,117,112
3,0,3,4,3,4,34,30
3,0,1,7,3,1,3,2
3,0,1,1,3,76,25,-51
3,1,3,7,3,27,24,-3
3,0,2,0,5,11,91,80
3,0,6,0,3,73,70,-3
3,0,6,1,3,41,32,-9
1,0,3,1,3,137,17,-120
3,0,6,0,3,48,42,-6
3,0,3,0,3,150,133,-17
1,0,3,0,3,31,78,47
3,0,2,0,5,145,1,-144
2,0,3,4,3,111,25,-86
3,0,0,1,3,40,60,20
3,0,2,0,5,8,184,176
3,0,2,0,5,110,35,-75
2,0,3,4,3,8,34,26
3,0,2,0,5,17,220,203
1,0,3,1,3,8,63,55
1,0,5,4,3,55,4,-51
3,1,0,0,3,72,100,28
3,0,6,4,3,20,12,-8
3,1,6,4,3,1,5,4
3,0,0,0,3,82,90,8
1,0,0,0,3,33,78,45
3,0,6,0,3,29,38,9
3,0,1,1,3,233,9,-224
1,0,5,1,3,7,45,38
1,0,5,1,3,9,32,23
1,0,3,0,3,47,15,-32
3,0,3,4,3,20,65,45
3,0,6,0,3,106,30,-76
1,0,0,4,3,273,142,-131
1,0,2,0,5,85,113,28
1,0,0,0,3,124,150,26
1,0,0,0,3,55,99,44
3,0,3,6,3,1,28,27
1,0,1,4,3,13,16,3
3,0,2,0,5,34,293,259
3,0,3,0,3,130,28,-102
3,0,0,4,3,5,18,13
3,0,6,4,3,36,5,-31
3,1,3,0,3,312,102,-210
3,0,2,2,5,10,78,68
3,0,5,0,3,79,54,-25
3,0,0,0,3,980,66,-914
2,0,2,0,5,22,60,38
3,0,1,0,3,62,103,41
3,1,5,2,3,9,11,2
1,0,0,4,3,82,64,-18
3,1,0,7,3,10,93,83
1,1,0,1,3,166,67,-99
1,0,4,2,3,93,83,-10
3,0,1,2,3,44,18,-26
2,0,2,0,5,98,34,-64
2,0,2,0,5,219,40,-179
3,1,1,0,3,72,20,-52
1,0,2,0,5,120,85,-35
1,0,4,2,3,81,11,-70
3,0,5,1,3,2,33,31
3,1,0,0,3,115,117,2
1,0,6,0,3,18,59,41
2,0,0,2,3,105,24,-81
3,0,3,6,3,128,14,-114
1,0,4,0,3,54,41,-13
3,0,1,0,3,17,8,-9
3,0,5,0,3,31,560,529
1,0,0,1,3,46,213,167
3,1,3,0,3,99,43,-56
3,0,4,1,3,14,42,28
3,1,7,5,3,1,4,3
1,0,6,0,3,45,52,7
3,1,6,0,3,247,20,-227
3,0,2,1,5,21,136,115
3,0,3,2,3,112,65,-47
3,0,2,1,5,130,14,-116
3,1,0,1,3,7,124,117
3,1,0,0,3,189,259,70
3,0,3,0,3,47,99,52
1,0,0,0,3,62,85,23
1,0,6,2,3,7,35,28
3,0,2,0,5,34,109,75
2,0,3,0,3,163,50,-113
0,1,3,0,3,30,42,12
2,0,1,0,3,64,78,14
2,0,3,1,3,117,247,130
1,0,6,4,3,2,34,32
1,0,6,2,3,38,4,-34
1,0,3,0,3,81,58,-23
3,0,6,2,3,29,4,-25
3,0,2,0,5,126,5,-121
3,0,4,0,3,122,96,-26
1,0,0,0,3,149,43,-106
3,0,2,2,5,23,122,99
3,0,3,0,3,105,58,-47
3,0,1,0,3,9,464,455
1,0,0,0,3,303,92,-211
3,1,3,0,3,149,110,-39
2,0,0,0,3,98,65,-33
1,0,0,0,3,364,59,-305
3,0,1,0,3,70,99,29
3,0,0,4,3,119,16,-103
3,0,6,0,3,46,26,-20
3,0,0,0,3,86,131,45
3,1,0,4,3,23,75,52
2,0,2,1,5,141,16,-125
2,0,2,1,5,166,12,-154
1,0,0,1,3,44,29,-15
3,0,0,6,3,21,3,-18
3,1,6,2,3,10,58,48
3,0,2,0,5,120,20,-100
1,0,4,1,3,25,80,55
2,0,2,4,5,28,21,-7
3,1,0,6,3,87,13,-74
3,1,6,1,3,44,16,-28
3,0,1,6,3,9,37,28
3,0,3,0,3,33,37,4
1,0,3,0,3,82,66,-16
3,0,2,2,5,18,118,100
1,0,6,0,3,34,41,7
3,0,2,1,5,65,70,5
3,0,0,1,3,103,49,-54
3,0,1,1,3,22,42,20
3,1,1,4,3,33,9,-24
1,0,2,0,5,14,94,80
3,1,1,0,3,81,33,-48
3,0,3,1,3,60,12,-48
3,0,0,6,3,112,28,-84
3,1,0,4,3,6,65,59
3,0,1,1,3,21,820,799
1,0,3,0,3,19,90,71
1,0,2,3,5,41,80,39
3,1,1,0,3,58,27,-31
2,0,2,1,5,17,38,21
3,1,4,0,3,47,37,-10
1,0,0,6,3,70,62,-8
3,1,6,1,3,60,44,-16
3,0,5,0,3,81,54,-27
3,1,6,2,3,3,93,90
3,0,1,0,3,401,47,-354
2,0,2,1,5,54,28,-26
3,0,0,4,3,71,22,-49
1,0,3,0,3,87,31,-56
3,0,0,7,3,7,27,20
3,0,6,2,3,38,2,-36
3,0,0,6,3,53,45,-8
3,0,3,0,3,61,73,12
1,0,2,0,5,8,94,86
1,0,3,6,3,33,56,23
3,1,0,1,3,27,436,409
3,0,5,1,3,6,43,37
3,0,0,0,3,102,903,801
2,0,2,2,5,1,22,21
1,0,6,1,3,13,57,44
3,0,3,1,3,32,46,14
3,0,2,3,5,67,4,-63
3,0,1,2,3,19,30,11
3,0,0,1,3,82,152,70
3,0,6,2,3,22,16,-6
1,0,3,2,3,24,12,-12
3,1,3,7,3,57,44,-13
3,1,7,5,3,2,6,4
2,0,3,0,3,92,46,-46
1,0,0,1,3,90,22,-68
3,0,0,0,3,280,256,-24
3,0,3,0,3,109,128,19
3,0,5,3,3,3,16,13
3,0,4,0,3,199,49,-150
3,1,0,0,3,86,95,9
3,0,6,0,3,78,81,3
3,1,6,1,3,54,15,-39
2,0,1,0,3,79,10,-69
3,1,0,1,3,16,99,83
1,0,1,1,3,55,57,2
3,0,0,4,3,3,9,6
3,0,2,0,5,23,115,92
1,0,0,6,3,183,90,-93
3,0,5,0,3,39,34,-5
3,0,4,0,3,480,254,-226
1,0,4,0,3,295,73,-222
3,0,5,0,3,1,55,54
3,0,5,0,3,48,3,-45
3,1,3,0,3,53,101,48
3,0,0,0,3,23,71,48
3,1,0,1,3,103,15,-88
1,0,0,1,3,369,483,114
3,0,0,1,3,63,37,-26
2,0,2,2,5,6,31,25
3,0,3,0,3,52,74,22
3,0,2,1,5,24,69,45
3,1,0,6,3,484,9,-475
3,0,3,1,3,65,32,-33
3,0,5,1,3,25,15,-10
1,0,3,0,3,294,125,-169
3,0,3,1,3,48,12,-36
3,0,2,0,5,15,71,56
3,0,3,1,3,11,101,90
1,0,1,6,3,5,19,14
2,0,2,0,5,35,96,61
3,0,2,0,5,26,57,31
1,0,3,4,3,316,79,-237
3,0,2,1,5,35,16,-19
3,1,0,0,3,52,19,-33
3,0,2,1,5,39,29,-10
1,0,1,1,3,86,44,-42
3,0,3,1,3,98,119,21
3,0,2,0,5,56,8,-48
1,0,3,0,3,76,32,-44
1,0,2,0,5,148,70,-78
3,1,0,0,3,39,66,27
3,0,2,2,5,81,48,-33
1,0,6,3,3,35,6,-29
3,0,4,2,3,11,65,54
3,0,1,0,3,40,229,189
